CIK
0000003133
0000007789
0000008126
0000009631
0000009659
0000009749
0000010012
0000010497
0000011913
0000013839
0000014060
0000016614
0000018349
0000019489
0000019612
0000019617
0000020405
0000021956
0000022356
0000022390
0000024058
0000028209
0000028412
0000034125
0000034782
0000035527
0000036029
0000036094
0000036104
0000036146
0000036161
0000036172
0000036204
0000036270
0000036340
0000036352
0000036377
0000036506
0000036510
0000036522
0000036672
0000036703
0000036725
0000036966
0000036995
0000037032
0000037049
0000037059
0000037076
0000037093
0000037808
0000038475
0000039263
0000039311
0000039394
0000040454
0000042293
0000043512
0000046195
0000046238
0000046267
0000047288
0000049196
0000049899
0000050341
0000051939
0000052617
0000053316
0000062973
0000064782
0000064907
0000064908
0000065637
0000065660
0000067088
0000068100
0000068336
0000068803
0000069834
0000069952
0000069968
0000069970
0000070040
0000070670
0000070858
0000072971
0000073124
0000074431
0000075417
0000077371
0000081893
0000083246
0000090498
0000091576
0000092081
0000092230
0000092339
0000092440
0000093451
0000093751
0000098840
0000099321
0000099982
0000100307
0000100893
0000101090
0000101320
0000101382
0000101542
0000101844
0000101880
0000102212
0000102661
0000103466
0000105598
0000105982
0000106926
0000109380
0000200138
0000200754
0000201461
0000202172
0000203596
0000215619
0000216729
0000216870
0000275119
0000275380
0000276235
0000310357
0000310732
0000310979
0000311094
0000311100
0000312069
0000312070
0000312367
0000313337
0000313857
0000314489
0000315176
0000315547
0000315709
0000315849
0000315858
0000316312
0000316769
0000316770
0000316901
0000316909
0000317964
0000318300
0000318779
0000319399
0000319498
0000320387
0000320547
0000350572
0000350847
0000350852
0000351077
0000351155
0000351238
0000351521
0000351569
0000351616
0000351617
0000351710
0000351825
0000351991
0000352187
0000352510
0000353191
0000353650
0000354562
0000354647
0000354869
0000354948
0000355574
0000355818
0000355883
0000355946
0000356050
0000356171
0000356598
0000356708
0000356809
0000356858
0000356981
0000357066
0000357105
0000357149
0000357173
0000357191
0000357208
0000357262
0000357264
0000357269
0000357301
0000357427
0000700551
0000700564
0000700565
0000700570
0000700613
0000700714
0000700733
0000700753
0000700863
0000700914
0000701153
0000701347
0000701709
0000701803
0000702147
0000702162
0000702163
0000702164
0000702170
0000702325
0000702430
0000702508
0000702513
0000702592
0000702654
0000702700
0000702902
0000702904
0000703329
0000703559
0000703699
0000703800
0000703904
0000703970
0000704054
0000704469
0000705025
0000705200
0000705356
0000705403
0000705432
0000705671
0000705679
0000706116
0000706129
0000706852
0000706863
0000706874
0000707179
0000707602
0000707604
0000707605
0000707805
0000707817
0000707855
0000707886
0000708848
0000708955
0000709337
0000709942
0000710507
0000711083
0000711403
0000711669
0000711772
0000712534
0000712537
0000712771
0000713078
0000713094
0000713095
0000713671
0000713676
0000713975
0000714310
0000714395
0000714530
0000714562
0000714612
0000714710
0000714712
0000714719
0000714756
0000715072
0000715096
0000715148
0000715366
0000715579
0000715991
0000716407
0000716457
0000716459
0000716605
0000716615
0000717059
0000717217
0000717306
0000717538
0000717806
0000717809
0000717837
0000718077
0000718111
0000718413
0000718607
0000718903
0000719146
0000719220
0000719227
0000719245
0000719264
0000719402
0000719495
0000719623
0000719731
0000719739
0000720002
0000720883
0000721161
0000721670
0000721994
0000722202
0000722256
0000723041
0000723188
0000723323
0000723458
0000723594
0000723646
0000723878
0000723916
0000724179
0000724198
0000726294
0000726517
0000726601
0000726854
0000726990
0000729986
0000730025
0000730030
0000730708
0000731122
0000731244
0000731653
0000731804
0000732417
0000732640
0000734370
0000735553
0000735961
0000736473
0000736772
0000737210
0000737220
0000737287
0000737468
0000737875
0000739421
0000740155
0000740663
0000740806
0000740876
0000740942
0000740971
0000741341
0000741356
0000741390
0000741516
0000741561
0000742054
0000742070
0000742161
0000742246
0000742263
0000742275
0000742279
0000742679
0000743136
0000743367
0000744126
0000744485
0000744778
0000745087
0000745276
0000745344
0000745456
0000745607
0000745614
0000745981
0000746253
0000746481
0000746594
0000746715
0000746969
0000747205
0000747345
0000748354
0000748529
0000749751
0000750556
0000750558
0000750574
0000750577
0000750686
0000751417
0000751926
0000752195
0000752324
0000752390
0000753682
0000753766
0000754019
0000754597
0000754673
0000755933
0000756775
0000756899
0000757012
0000757762
0000757790
0000758029
0000759458
0000759718
0000759944
0000760077
0000760079
0000760498
0000760684
0000760992
0000760993
0000761201
0000761332
0000761651
0000762128
0000763563
0000763585
0000763901
0000763907
0000763956
0000764038
0000764205
0000764241
0000764402
0000764581
0000764811
0000765207
0000767405
0000768177
0000768532
0000768536
0000769207
0000769751
0000769800
0000770460
0000771614
0000771667
0000771722
0000773845
0000774203
0000774569
0000775345
0000775473
0000775662
0000775663
0000776815
0000776848
0000776901
0000777876
0000778972
0000783604
0000783739
0000783850
0000783995
0000784932
0000785813
0000785854
0000786298
0000787075
0000787648
0000787849
0000788134
0000789575
0000789594
0000789670
0000789759
0000790168
0000790183
0000790359
0000790362
0000790555
0000790988
0000792360
0000792369
0000792966
